policy_name,workload_name,cache_size,hit_rate,cost_weighted_hit_rate,dollar_savings,latency_p50,latency_p95,latency_p99,throughput,memory_overhead_bytes,n_queries,n_evictions,run_id,seed,cpu_percent_mean,cpu_percent_p95,rss_mean_mb,rss_peak_mb,gpu_utilization,grid_regime
FIFO,high_variance_cost,10000,0.0226,0.020267158857648404,6.437284734684069,0.0007999915396794677,0.001300009898841381,0.001700012944638729,673155.8892456763,56,10000,9755,3,45,0.0,0.0,95.07421875,95.07421875,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0217,0.02196415888575937,6.9762883736472405,0.0011999945854768157,0.0026000052457675338,0.0034999976924154907,573115.1674107421,56,10000,9762,3,45,0.0,0.0,95.07421875,95.07421875,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0157,0.030436986445820206,9.667440295585578,0.0043000036384910345,0.007900002674432471,0.011800002539530396,185597.27991049457,56,10000,9826,3,45,0.0,0.0,95.07421875,95.07421875,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0249,0.02617151710449546,8.031225040523491,0.000600004568696022,0.0011999945854768157,0.0014999968698248267,854569.3834120044,56,10000,9732,4,46,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0272,0.016238727659535705,4.983160727167131,0.004299989086575806,0.011800002539530396,0.018900998402386925,194860.36310358054,56,10000,9701,4,46,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0251,0.02651286801794178,8.135975024742203,0.0007999915396794677,0.0014999968698248267,0.0020000006770715117,670075.1153975985,56,10000,9730,4,46,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0252,0.023906675607288846,7.336215589120383,0.0011999945854768157,0.0026000052457675338,0.0036999990697950125,574811.7495253518,56,10000,9727,4,46,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0194,0.03949132603297608,12.118660345641016,0.0037999998312443495,0.007000009645707905,0.010100004146806896,220055.89421925612,56,10000,9791,4,46,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0226,0.026076124854660123,8.416918317151502,0.000600004568696022,0.001100008375942707,0.0014999968698248267,869512.2906637333,56,10000,9750,5,47,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0183,0.02761399064479849,8.913314572748623,0.0037999998312443495,0.010299991117790341,0.015600002370774746,215518.17031362583,56,10000,9796,5,47,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0225,0.025225626738031807,8.142392358388408,0.0006999907782301307,0.001200009137392044,0.0015999976312741637,761220.3885146468,56,10000,9751,5,47,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0243,0.027022201655611238,8.72229540825461,0.0010999938240274787,0.0025999906938523054,0.0035999983083456755,599329.9492126359,56,10000,9731,5,47,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0191,0.040202262642971255,12.976589225453408,0.0039000005926936865,0.00790000194683671,0.014101005508564435,205458.624736246,56,10000,9793,5,47,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0259,0.02517199788420285,7.314194679834172,0.000600004568696022,0.001100008375942707,0.001500011421740055,861319.0237941906,56,10000,9717,6,48,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0249,0.022803456626576565,6.625970727758842,0.003700013621710241,0.010200004908256233,0.015700003132224083,222513.96275062775,56,10000,9728,6,48,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0261,0.024571840042568703,7.13980759651505,0.000600004568696022,0.001200009137392044,0.0016999983927235007,825934.3378042958,56,10000,9715,6,48,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0263,0.027796435217069693,8.076774021605825,0.0010999938240274787,0.0024999899324029684,0.0033999969309661537,621654.720379328,56,10000,9712,6,48,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0185,0.03831911673916598,11.134335902890058,0.0036999990697950125,0.006800008122809231,0.009699986694613472,227475.90461090882,56,10000,9799,6,48,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0228,0.024107048370035692,7.308136989183568,0.000600004568696022,0.001100008375942707,0.001500011421740055,866325.9117683202,56,10000,9747,7,49,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0249,0.021445595108716776,6.501308018441382,0.0040000013541430235,0.01239999255631119,0.020199993887217715,188259.0369098791,56,10000,9725,7,49,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0228,0.02457451695031248,7.449851742908802,0.0006999907782301307,0.0012999953469261527,0.001700012944638729,790501.3355887487,56,10000,9747,7,49,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0248,0.024097701164323203,7.305303350707202,0.001300009898841381,0.0030999945010989904,0.00449999060947448,472493.7747267924,56,10000,9727,7,49,0.0,0.0,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0177,0.036873652463361446,11.178378180413988,0.0049000082071870565,0.011299998732283711,0.02090001362375915,147703.94220099208,56,10000,9805,7,49,50.4,95.75999999999999,95.078125,95.078125,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0251,0.024693841348152702,7.208302020979851,0.000600004568696022,0.001200009137392044,0.0016999983927235007,810872.17401388,56,10000,9728,8,50,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0257,0.02078691212190951,6.067842525824765,0.00449999060947448,0.012200005585327744,0.01889999839477241,188885.23712075566,56,10000,9712,8,50,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0253,0.02550841173584403,7.446080716041606,0.000700005330145359,0.001300009898841381,0.0018999999156221747,725926.46424489,56,10000,9726,8,50,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0253,0.02388593673903877,6.97246911250162,0.0013999961083754897,0.0031999952625483274,0.004601005784934408,472929.514483395,56,10000,9723,8,50,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0188,0.0408273813761772,11.917793247960144,0.004399989848025143,0.009399998816661537,0.0159009902563412,175951.63441105935,56,10000,9793,8,50,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0216,0.02203106884554593,6.737816921688097,0.000900006853044033,0.0017999991541728377,0.0024999899324029684,564187.6264013732,56,10000,9760,9,51,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0269,0.01938393857451643,5.928238445986439,0.007800001185387373,0.021700005163438618,0.0322030120878481,110187.25222321843,56,10000,9702,9,51,62.0,117.8,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0214,0.021797014426880246,6.666235473064901,0.0011999945854768157,0.0020999868866056204,0.002700006007216871,460806.13443530176,56,10000,9762,9,51,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0223,0.022113833542295756,6.763129056028419,0.0020000006770715117,0.004405003710417004,0.006100002792663872,337779.63943793706,56,10000,9753,9,51,0.0,0.0,95.08203125,95.08203125,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.017,0.036786297562014236,11.250445447620821,0.006199989002197981,0.012100004823878407,0.019803005125140837,133053.38901907377,56,10000,9811,9,51,0.0,0.0,95.12109375,95.12109375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0252,0.024203418005143536,6.919474925078904,0.001100008375942707,0.0020000006770715117,0.0026000052457675338,480683.7245878462,56,10000,9722,10,52,0.0,0.0,95.12109375,95.12109375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0264,0.022954648083666478,6.562466168835592,0.00650000583846122,0.01829999382607639,0.028500998741947135,126291.0098668635,56,10000,9709,10,52,50.1,95.19,95.12109375,95.12109375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0257,0.024442615004767684,6.987858557535347,0.000800006091594696,0.0015999976312741637,0.002201002062065549,641276.396104922,56,10000,9717,10,52,0.0,0.0,95.12109375,95.12109375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0243,0.02607128193790492,7.4534754387028475,0.0015999976312741637,0.0035999983083456755,0.004899993655271828,423405.87675639807,56,10000,9734,10,52,0.0,0.0,95.12109375,95.12109375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0178,0.038557047217846294,11.02301011172362,0.00650000583846122,0.012999997852602974,0.02270101264002735,124208.48145464179,56,10000,9805,10,52,40.05,76.09499999999998,95.12109375,95.12109375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0249,0.026685771888487076,8.452731384703794,0.000900006853044033,0.0017999991541728377,0.0024000037228688598,569852.5219565177,56,10000,9729,11,53,0.0,0.0,95.125,95.125,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0215,0.026349809522042526,8.346315139717815,0.0049000082071870565,0.015700003132224083,0.02530098892748358,149458.28844317174,56,10000,9767,11,53,0.0,0.0,95.125,95.125,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.025,0.026681428141082843,8.451355500574813,0.0011999945854768157,0.0020000006770715117,0.0026000052457675338,461953.5089366034,56,10000,9728,11,53,0.0,0.0,95.125,95.125,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.025,0.028844812198037674,9.13660846578056,0.0020000006770715117,0.0045000051613897085,0.00689999433234334,324881.01227892505,56,10000,9732,11,53,0.0,0.0,95.125,95.125,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0193,0.04122496971754671,13.058029455588155,0.006999995093792677,0.01379998866468668,0.023100001271814108,118952.45707496628,56,10000,9788,11,53,50.1,95.19,95.125,95.125,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0251,0.02332114861736255,6.930145873949785,0.000900006853044033,0.0018999999156221747,0.0026000052457675338,556145.688033484,56,10000,9723,12,54,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0252,0.018499586452878775,5.497363565992925,0.00790000194683671,0.022499996703118086,0.03559999473509379,103075.03760672334,56,10000,9722,12,54,40.05,76.09499999999998,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.025,0.023116641241718236,6.86937416974399,0.0011999945854768157,0.0021000014385208488,0.0027999922167509794,460028.1538436715,56,10000,9724,12,54,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0243,0.021186694046128784,6.295868301148063,0.0015999976312741637,0.0035999983083456755,0.005500012775883079,398622.3611639008,56,10000,9735,12,54,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0195,0.03999639274052093,11.885385264310509,0.005399997462518513,0.011299998732283711,0.0208009983180091,143640.59973730522,56,10000,9787,12,54,49.6,94.24,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0239,0.023222565997102363,7.431088188605489,0.0009999930625781417,0.001700012944638729,0.0023000029614195228,560522.4072071906,56,10000,9739,13,55,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.028,0.02060428853846054,6.593254389367584,0.006349997420329601,0.018600010662339628,0.03029999788850546,130221.05023892147,56,10000,9692,13,55,50.1,95.19,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0242,0.023608532145923133,7.554595146883116,0.0009999930625781417,0.0016999983927235007,0.0023000029614195228,563971.2599304979,56,10000,9734,13,55,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0232,0.024814510877856973,7.940501437846018,0.001700012944638729,0.0037999998312443495,0.00549999822396785,381493.01100259315,56,10000,9748,13,55,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0175,0.034463783787803265,11.028213534721095,0.00650000583846122,0.013799989392282441,0.024800999526632974,118967.5991797112,56,10000,9807,13,55,50.1,95.19,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0224,0.018411517273597727,5.803284062163098,0.001100008375942707,0.0020000006770715117,0.002700006007216871,471471.27340602636,56,10000,9752,14,56,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0272,0.014816412313802974,4.670112091328369,0.00790000194683671,0.02140500218956724,0.03559999473509379,106340.66870630799,56,10000,9700,14,56,37.8,71.82,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0224,0.01805767190127906,5.6917525040013075,0.0011999945854768157,0.0021000014385208488,0.003101008915109582,431995.29996598733,56,10000,9752,14,56,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0247,0.022469178485578556,7.082253105899294,0.0021000014385208488,0.0047000066842883825,0.006799993570894003,312093.3035177261,56,10000,9732,14,56,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0161,0.031778207938048995,10.016445951222147,0.007299997378140688,0.014699995517730713,0.02750600557192242,111064.46404448416,56,10000,9819,14,56,49.6,94.24,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0254,0.027774887164073093,8.793681932437478,0.00100000761449337,0.0020000006770715117,0.0028999929782003164,503765.64820123254,56,10000,9723,15,57,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0266,0.020652750295784263,6.538774255259578,0.005999987479299307,0.01679999695625156,0.025300003471784294,141367.73280372453,56,10000,9712,15,57,50.4,95.75999999999999,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0254,0.027771103165562083,8.792483897711286,0.000900006853044033,0.0018999999156221747,0.0026999914553016424,552611.3645907133,56,10000,9723,15,57,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0243,0.02600068755134724,8.231960583695301,0.0021000014385208488,0.0047000066842883825,0.006300004315562546,318813.50368611875,56,10000,9734,15,57,0.0,0.0,95.1484375,95.1484375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0186,0.040674324718933175,12.877714760174948,0.005599998985417187,0.011105011071776898,0.01780200458597396,146039.5533745693,56,10000,9797,15,57,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0214,0.022866423648128124,7.085130939393963,0.000900006853044033,0.0017999991541728377,0.0024999899324029684,567714.0991638345,56,10000,9762,16,58,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0249,0.01947552324924003,6.03446496301457,0.005800000508315861,0.0168999977177009,0.027399990503909066,138490.7280367243,56,10000,9726,16,58,49.6,94.24,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0216,0.022878428355002277,7.088850581844451,0.000900006853044033,0.001700012944638729,0.0024000037228688598,562363.2755516408,56,10000,9761,16,58,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0211,0.025106884448037315,7.779334736901031,0.0016999983927235007,0.0037999998312443495,0.005299996701069176,392546.33028210665,56,10000,9763,16,58,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0173,0.036783829068486186,11.397420489226572,0.005599998985417187,0.011805016401922257,0.02320100204087796,137775.0161651703,56,10000,9810,16,58,62.0,117.8,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0215,0.02293828394376267,7.085831634080284,0.000800006091594696,0.0017999853298533708,0.0028999929782003164,613068.1608260213,56,10000,9767,17,59,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0229,0.029966689400096426,9.25696605031347,0.0041000021155923605,0.013600001693703234,0.023301002802327296,174725.89875936374,56,10000,9751,17,59,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0214,0.022803170886081622,7.044094057693102,0.000800006091594696,0.0015999976312741637,0.0021010013006162115,638936.8093843127,56,10000,9768,17,59,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0241,0.025015415976922556,7.727475442519057,0.0015999976312741637,0.0036999990697950125,0.0051000097300857306,413250.4628028496,56,10000,9739,17,59,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0168,0.037918033437048235,11.713204069191473,0.0048000074457377195,0.00999998883344233,0.0158020037633833,165072.34295146505,56,10000,9818,17,59,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.021,0.020817318219153644,6.492585101238128,0.000900006853044033,0.0017999991541728377,0.002700006007216871,556179.713156983,56,10000,9764,18,60,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0192,0.02826504445167939,8.815410542360821,0.0051000097300857306,0.014105004811426552,0.0225009967107326,159822.78848237402,56,10000,9788,18,60,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0209,0.020808605270046417,6.4898676732310285,0.000900006853044033,0.0016999983927235007,0.0023000029614195228,583689.3839724298,56,10000,9765,18,60,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0201,0.021738184527570245,6.779788419711532,0.0015999976312741637,0.003600012860260904,0.00549999822396785,414609.1687530213,56,10000,9772,18,60,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0148,0.03162806182438131,9.864281307525943,0.004999994416721165,0.00999998883344233,0.0168999977177009,162493.03310190124,56,10000,9837,18,60,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0225,0.021629607189282186,6.9886656339488695,0.0008999923011288047,0.0017999991541728377,0.0025999906938523054,579898.4016171221,56,10000,9754,19,61,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0203,0.023629233859294448,7.634757912331392,0.0042000028770416975,0.013500000932253897,0.02409999433439225,171248.7113623246,56,10000,9776,19,61,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0225,0.02162991512057884,6.988765128537548,0.0006999907782301307,0.0012999953469261527,0.0018999999156221747,770754.4915855316,56,10000,9754,19,61,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0244,0.02229569359078533,7.2038824477674925,0.0012999953469261527,0.0035050114092881994,0.005800000508315861,431609.34187296923,56,10000,9735,19,61,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
"GDSF(a=1.0,b=1.0)",high_variance_cost,10000,0.0161,0.03256539588578929,10.522089517914562,0.005900001269765198,0.01200000406242907,0.021901006693951806,135631.10509670386,56,10000,9827,19,61,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LRU,high_variance_cost,10000,0.0229,0.023481865176679252,7.530042564825788,0.0011999945854768157,0.0022000021999701858,0.0030999945010989904,428526.1272956843,56,10000,9742,20,62,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
LFU,high_variance_cost,10000,0.0284,0.02500598622835496,8.018789787702405,0.006700007361359894,0.018699996871873736,0.032601000857539496,122478.92442207574,56,10000,9689,20,62,50.4,95.75999999999999,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
FIFO,high_variance_cost,10000,0.0228,0.02344056300041792,7.516797997457407,0.00100000761449337,0.0017999991541728377,0.0025000044843181968,517076.4498837743,56,10000,9742,20,62,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
Random,high_variance_cost,10000,0.0246,0.02587597475897579,8.297773191158413,0.0020000006770715117,0.0044000043999403715,0.006399990525096655,337241.96774256014,56,10000,9725,20,62,0.0,0.0,95.15234375,95.15234375,N/A (GPTCache eviction path is CPU-only),stress
